#separator:tab
#html:true
#columns:Front	Back	Tags
#tags column:3
<b>Mmm5 opg condyle fracture</b> — list the step-by-step approach / framework (in order).	<ol><li><b>Periphery of image</b> — calcified structures (stylohyoid, tonsilloliths, sialoliths), Eagle syndrome</li><li><b>Condyles and TMJ</b></li><li><b>Sinuses (maxillary)</b></li><li><b>Rami, angles, body of mandible</b></li><li><b>Teeth</b> — quadrant by quadrant (Q1 → Q2 → Q3 → Q4)</li><li><b>Bone levels</b></li><li><b>Restorations</b></li></ol>	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
<b>Mmm5 opg condyle fracture</b> — list the key points for: <i>Problem 4 — Tooth 24: Complex Multi-Problem Tooth</i>	<ul><li>On OPG alone you <b>cannot</b> assess the quality of the root canal or the true extent of the periapical lesion</li><li>Because of proximity to the sinus, the periapical lesion must be carefully evaluated</li><li>Add in brackets: <b>(Periapical radiograph recommended for tooth 24)</b></li><li>Lay language: <i>"This upper left tooth has had a root canal done before, but I can see a shadow at the root tip and the filling on top is coming out. I need a closer X-ray specifically for this tooth to understand what'…</li></ul>	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
<b>Mmm5 opg condyle fracture</b> — list the key points for: <i>Problem 5 — Missing Tooth 11 (Upper Right Central Incisor)</i>	<ul><li><b>38-year-old patient</b> — premature tooth loss is clinically significant at this age</li><li>Consequences of missing 11</li><li><b>Aesthetic concern</b> — anterior tooth, highly visible</li><li><b>Functional concern</b> — impacts speech and biting/tearing</li><li><b>Stability concern</b> — adjacent and opposing teeth may drift or supraerupt into the space over time</li><li><b>Associated finding:</b> Healing bone resorption is visible in the area — expected and normal following tooth loss</li><li>Note: No <b>pathological bone loss</b> is seen at this site — just normal post-extraction resorption</li></ul>	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
<b>Mmm5 opg condyle fracture</b> — list the key points for: <i>Quick Revision Checklist</i>	<ul><li>[ ] Scan <b>outside → inside</b> on every OPG — condyles first, then sinuses, then teeth</li><li>[ ] Bilateral condylar fractures = <b>emergency</b> — state this clearly and refer to OMFS</li><li>[ ] Caries noted on OPG → always add <b>(bitewing recommended)</b> in brackets</li><li>[ ] Tooth 24 → document all three problems: RCT status unknown + defective restoration + periapical radiolucency + add <b>(periapical radiograph recommended)</b></li><li>[ ] Missing 11 → include as future/Phase 2 problem even though not urgent</li><li>[ ] Attrition on 31, 32, 41, 42 → include</li><li>[ ] <b>Do not</b> comment on pathology in anterior mandibular region without clear evidence — high artifact zone</li></ul>	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
<b>Mmm5 opg condyle fracture</b> — for each <i>Feature</i>, give the corresponding <i>Detail</i>.	<ul><li><b>Patient</b> → 38-year-old male</li><li><b>Radiograph</b> → OPG (Orthopantomogram / Panoramic)</li><li><b>Presentation</b> → Emergency visit</li><li><b>Task</b> → Compile a <b>complete problem list</b></li></ul>	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
<b>Mmm5 opg condyle fracture</b> — give details for Tooth: <i><b>18</b></i>	<b>Surface:</b> Disto-occlusal (DO)<br><b>Notes:</b> Identified on OPG	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
<b>Mmm5 opg condyle fracture</b> — for each <i>Tooth</i>, give the corresponding <i>Finding</i>.	<ul><li><b><b>12</b></b> → Defective DO restoration — inadequate margins</li><li><b><b>24</b></b> → Restoration appears to be displaced/popping out</li></ul>	NDECC_SJ::Mmm5_opg_condyle_fracture NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm5 radiograph problem and plan</b>	| Feature | Detail | |---|---| | Patient age | 48 years old | | Chief complaint | Intermittent pain, lower right teeth | | History | Treatment done <b>3 months ago</b> in the fourth quadrant (lower right) | | Radiograph | Periapical (PA) image — fourth quadrant | | Teeth visible | <b>46</b> (lower right first molar) and <b>47</b> (lower right second molar), likely <b>48</b> visible |	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — would the following be appropriate, or a critical error?<br><br><i>“Saying "I will open both teeth and figure it out myself" — Multiple HIGH difficulty factors require specialist care — this is outside safe scope for a GDP”</i>	<b>Critical error / Avoid this.</b><br><br>Saying "I will open both teeth and figure it out myself" — Multiple HIGH difficulty factors require specialist care — this is outside safe scope for a GDP	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — would the following be appropriate, or a critical error?<br><br><i>“Declaring both teeth <b>hopeless and extracting</b> — These teeth are potentially restorable — too extreme an assessment without specialist input”</i>	<b>Critical error / Avoid this.</b><br><br>Declaring both teeth <b>hopeless and extracting</b> — These teeth are potentially restorable — too extreme an assessment without specialist input	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — would the following be appropriate, or a critical error?<br><br><i>“Failing to mention the <b>specialist referral</b> for 46 and 47 — Core answer requirement — this is the primary recommendation”</i>	<b>Critical error / Avoid this.</b><br><br>Failing to mention the <b>specialist referral</b> for 46 and 47 — Core answer requirement — this is the primary recommendation	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — list the key points for: <i>Step 1: Pre-Answer Setup (In Your 3-Minute Prep)</i>	<ul><li>Patient had treatment in Q4 — <b>exact tooth not specified</b> in the prompt</li><li>Identify all visible problems on the radiograph systematically</li><li>Use the 3 minutes to mentally build your <b>problem list</b> before the simulated patient enters</li><li>You can begin the station by taking a brief history of pain — this sounds natural and "in the moment"</li></ul>	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — list the key points for: <i>Step 2: History-Taking (Opening the Station)</i>	<ul><li><b>Which tooth</b> has the intermittent pain? (Ask them to point)</li><li>What <b>type of pain</b> — sharp/dull, spontaneous, on biting, or thermal (hot/cold)?</li><li>When does the pain come and go?</li><li>What <b>treatment</b> was done three months ago, and on which tooth?</li><li>Did your previous dentist give you any information or paperwork?</li><li>Were you asked to return for a follow-up appointment? Did you miss any?</li><li>Have you taken any medications for the pain?</li></ul>	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — list the key points for: <i>Problem 2 — Tooth 47 (Lower Right Second Molar): Incomplete Treatment</i>	<ul><li>Root canal treatment appears to have been <b>started but not completed</b></li><li>Radiopaque material is visible between canals, but it does <b>not fill the canals completely</b> — unlike a completed root canal</li><li>The crown/coronal restoration is <b>damaged and inadequate</b> — no proper build-up or crown visible</li><li><b>Cannot confirm</b> if it was intentionally paused (e.g., awaiting appointments) or abandoned</li><li>This tooth may be the <b>actual source of intermittent pain</b> (may have residual pulp tissue)</li><li>Lay language: <i>"This tooth behind it looks like someone started the root canal treatment but did not finish it. The top of the tooth is also quite broken down."</i></li></ul>	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — list the key points for: <i>Additional Finding (Non-Critical)</i>	<ul><li><b>Amalgam restoration on tooth 48</b> — visible in the image, mesial aspect appears intact and acceptable</li><li>Worth noting to the patient, but <b>not a major problem</b></li></ul>	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — list the key points for: <i>Step 5: Explaining the Referral — Scope of Referral</i>	<ul><li>The specialist (endodontist) will <b>reassess the canals</b> of tooth 46 and attempt <b>non-surgical endodontic retreatment</b></li><li>For tooth 47, the specialist will assess <b>restorability</b> before proceeding — if the tooth is restorable, they will <b>complete the root canal treatment</b></li><li><b>Extraction is NOT the default</b> — both teeth have adequate root structure and are potentially salvageable</li><li><b>Crowning is NOT the specialist's job</b> — once the endodontic component is completed by the specialist, the patient <b>returns to you</b> for the permanent restoration (filling or crown)</li><li>Specialist manages: <b>pulp space + periapical area</b></li><li>GDP manages: <b>coronal restoration</b></li></ul>	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — for each <i>Feature</i>, give the corresponding <i>Detail</i>.	<ul><li><b>Patient age</b> → 48 years old</li><li><b>Chief complaint</b> → Intermittent pain, lower right teeth</li><li><b>History</b> → Treatment done <b>3 months ago</b> in the fourth quadrant (lower right)</li><li><b>Radiograph</b> → Periapical (PA) image — fourth quadrant</li><li><b>Teeth visible</b> → <b>46</b> (lower right first molar) and <b>47</b> (lower right second molar), likely <b>48</b> visible</li></ul>	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>Mmm5 radiograph problem and plan</b> — give details for Problem: <i>46 — underfilled canals, separated instruments, periapical radiolucency</i>	<b>Recommended Treatment:</b> <b>Specialist referral</b> for endodontic retreatment<br><b>Who Does It:</b> Endodontist (specialist)	NDECC_SJ::Mmm5_radiograph_problem_and_plan NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>4 Core Goals</i>	<ul><li>Every exam is <b>clinically justified</b></li><li>Radiographs have <b>sufficient diagnostic info</b></li><li>Radiographs are <b>correctly interpreted</b></li><li>Lowest possible dose — <b>ALARA principle</b></li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>DA Responsibilities</i>	<ul><li>Follow all safe procedures & participate in QC testing</li><li>Keep accurate records</li><li>Report equipment issues immediately</li><li>Only operate X-ray after <b>proper training/certification</b></li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>Equipment QC Checks</i>	<ul><li>Voltage accuracy — <b>≤7% deviation</b></li><li>Timer accuracy — auto-terminates exposure</li><li>Beam collimation — <b>≤7 cm</b> diameter (intraoral)</li><li>Leakage radiation — <b>≤0.87 mGy/hr</b> at 1 m</li><li>Acceptance test on all <b>new equipment</b></li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>Image Quality Checks</i>	<ul><li>Use <b>step wedge</b> to monitor density consistency</li><li>Check for errors: cone cuts, blur, over/underexposure</li><li>Digital: calibration; Film: fresh chemicals</li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>Ancillary Equipment</i>	<ul><li><b>Lead aprons/thyroid collars</b> — inspect for cracks, hang (never fold!)</li><li>Viewbox/monitor — clean, uniform light</li><li>Film/sensor storage — shielded, away from radiation</li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>Operator Protection</i>	<ul><li>Stand <b>≥3 m</b> from tube/patient OR behind lead barrier</li><li><b>Never hold</b> sensor for patient</li><li>Wear <b>dosimetry badge</b> if designated radiation worker</li><li>Dose limits: <b>20 mSv/yr</b> (rad worker) | <b>1 mSv/yr</b> (public)</li><li>Pregnant staff: notify employer; fetal dose <b>≤4 mSv</b></li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>Patient Protection</i>	<ul><li>Always use <b>lead apron + thyroid collar</b></li><li>Use <b>rectangular collimation</b> (preferred)</li><li>Use <b>fast receptors</b> (digital or E/F-speed film minimum)</li><li>Min source-to-skin distance: <b>≥20 cm</b> (intraoral)</li><li><b>No unnecessary repeats</b></li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
<b>x ray safety canada</b> — list the key points for: <i>Record Keeping</i>	<ul><li>QC test results, equipment maintenance logs</li><li>Radiation survey records & corrective actions</li><li>Dosimetry records for radiation workers</li><li>Staff training records</li></ul>	NDECC_SJ::x_ray_safety_canada NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>mmm10 chronic apical abscess + fur</b>	| Detail | Information | |---|---| | <b>Age / Sex</b> | 27-year-old woman | | <b>Chief Complaint</b> | Pain — does not recall onset; started unexpectedly | | <b>Clinical Findings</b> | Buccal swelling, sinus tract with <b>suppuration</b> (pus), pain on palpation | | <b>Radiographic Findings</b> | Carious tooth #36 with <b>furcation involvement</b> | | <b>Station Type</b> | Simulated — diagnosis + treatment options required | | <b>Key Patient Factor</b> | Young patient, <b>insistent on saving the tooth</b> |	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — would the following be appropriate, or a critical error?<br><br><i>“<b>Extraction as Option 1</b> — Ignores patient age, tooth importance, and specialist salvage potential”</i>	<b>Critical error / Avoid this.</b><br><br><b>Extraction as Option 1</b> — Ignores patient age, tooth importance, and specialist salvage potential	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — would the following be appropriate, or a critical error?<br><br><i>“Diagnosing reversible pulpitis or acute abscess — Sinus tract + suppuration = chronic condition; wrong diagnosis = wrong management”</i>	<b>Critical error / Avoid this.</b><br><br>Diagnosing reversible pulpitis or acute abscess — Sinus tract + suppuration = chronic condition; wrong diagnosis = wrong management	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — would the following be appropriate, or a critical error?<br><br><i>“Giving only two options: extraction + no treatment — Completely misses the salvage pathway; critical error”</i>	<b>Critical error / Avoid this.</b><br><br>Giving only two options: extraction + no treatment — Completely misses the salvage pathway; critical error	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — list the key points for: <i>Arriving at the Diagnosis</i>	<ul><li><b>Sinus tract + suppuration</b> → chronic infection with an established drainage pathway — pulp is necrotic</li><li><b>Pain on palpation</b> → periapical pathology is active and symptomatic</li><li><b>Furcation involvement on radiograph</b> → infection has spread through the pulp chamber floor, involving the bone between the roots</li><li><b>Carious tooth as origin</b> → caries → pulpitis → pulp necrosis → periapical/furcation spread</li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — list the key points for: <i>The Critical Twist — Why This Case Is Not Straightforward</i>	<ul><li>This is a <b>27-year-old</b> patient — tooth #36 must serve them for potentially 50+ more years</li><li>#36 is the first permanent molar — responsible for approximately 80% of masticatory efficiency</li><li>The simulator reinforced this: <i>"I want to save this tooth"</i> — redirecting any candidate who moved straight to extraction</li><li><b>Furcation involvement alone does NOT automatically make a tooth hopeless</b> — prognosis depends on timing, extent, and treatment approach</li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — list the key points for: <i>Step 1 — Brief History and Clarifying Questions <i>(Simulated Station)</i></i>	<ul><li>Was there ever a period of acute severe pain? (backtracking from necrosis to acute pulpitis phase)</li><li>Was there previous dental treatment on this tooth?</li><li>Did you take any pain medication that may have suppressed earlier symptoms?</li><li>How long have you noticed the swelling/pus?</li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — list the key points for: <i>Option 1 ✅ — Non-Surgical Root Canal Treatment + MTA Furcation Repair <i>(Most Recommended)</i></i>	<ul><li><b>Procedure:</b> Access cavity → biomechanical preparation of canals → MTA placed at the furcation → temporized for 2–3 months → confirmed healing at follow-up → definitive root canal + crown</li><li><b>Tooth is fully preserved</b> — no structural modification, no bone loss</li><li>MTA is the gold-standard material for furcation repair: biocompatible, antibacterial (pH 12.5), promotes new cementum and bone formation</li><li>Published evidence (JCDA case series with tooth #36) demonstrates <b>complete osseous healing at furcation and apex at 2-year follow-up</b></li><li>74–100% survival rate for MTA-repaired perforations in the literature</li><li>Non-surgical — no flap, no bone removal, conservative approach</li><li><b>Prognosis is guarded</b> due to the chronic, long-standing nature of the infection — furcation has been exposed to oral environment for an unknown period, and periodontal tissue is weakened</li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — list the key points for: <i>Option 2 — Bicuspidization <i>(If Option 1 Fails or Furcation Is Non-Repairable)</i></i>	<ul><li>Mesial half + distal half are separated, cleaned individually, restored with separate crowns</li><li>The furcation — the problem area — is eliminated entirely as it no longer exists between two separated units</li><li><b>Tooth structure and bone are preserved</b> — alveolar bone remains intact since no extraction occurs, critical given patient age</li><li>Eliminates the furcation defect as a source of ongoing infection</li><li>Maintains the patient's natural occlusion and masticatory efficiency</li><li>Good long-term outcomes reported; viable alternative to extraction for Class II–III furcation involvement</li><li><b>Surgical procedure</b> — requires flap elevation, vertical sectioning of the tooth, possible minor bone removal at the furcation</li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — for each <i>Detail</i>, give the corresponding <i>Information</i>.	<ul><li><b><b>Age / Sex</b></b> → 27-year-old woman</li><li><b><b>Chief Complaint</b></b> → Pain — does not recall onset; started unexpectedly</li><li><b><b>Clinical Findings</b></b> → Buccal swelling, sinus tract with <b>suppuration</b> (pus), pain on palpation</li><li><b><b>Radiographic Findings</b></b> → Carious tooth #36 with <b>furcation involvement</b></li><li><b><b>Station Type</b></b> → Simulated — diagnosis + treatment options required</li><li><b><b>Key Patient Factor</b></b> → Young patient, <b>insistent on saving the tooth</b></li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
<b>mmm10 chronic apical abscess + fur</b> — for each <i>Critical Error</i>, give the corresponding <i>Why It Fails</i>.	<ul><li><b><b>Extraction as Option 1</b></b> → Ignores patient age, tooth importance, and specialist salvage potential</li><li><b>Diagnosing reversible pulpitis or acute abscess</b> → Sinus tract + suppuration = chronic condition; wrong diagnosis = wrong management</li><li><b>Giving only two options: extraction + no treatment</b> → Completely misses the salvage pathway; critical error</li><li><b>Dismissing the patient's wish to save the tooth</b> → Patient-centered care failure; simulator explicitly flags this</li><li><b>Not mentioning specialist referral</b> → Complexity exceeds general dentist scope; mandatory in this case</li><li><b>Confusing iatrogenic (immediate) perforation prognosis with chronic caries-related furcation</b> → Two very different prognoses; must be communicated correctly to patient</li></ul>	NDECC_SJ::mmm10_chronic_apical_abscess_fur NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm10 painful bridge</b>	| Detail | Information | |---|---| | <b>Chief Complaint</b> | Pain — upper right side, emergency presentation | | <b>Pain Quality</b> | Exaggerated by <b>hot fluids</b>, pain on <b>biting</b> | | <b>Bridge</b> | Sound and intact, teeth #25–27, placed <b>2 years ago</b> | | <b>Bridge Status</b> | No open margins, no breakdown, intact | | <b>Station Type</b> | Written — no further information can be obtained |	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — would the following be appropriate, or a critical error?<br><br><i>“Listing sectioning as the <b>first or primary</b> treatment option — It is a compromise, not a recommendation”</i>	<b>Critical error / Avoid this.</b><br><br>Listing sectioning as the <b>first or primary</b> treatment option — It is a compromise, not a recommendation	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — would the following be appropriate, or a critical error?<br><br><i>“Skipping endodontic treatment through the bridge entirely — Most conservative, most evidence-supported option — omitting it signals poor clinical reasoning”</i>	<b>Critical error / Avoid this.</b><br><br>Skipping endodontic treatment through the bridge entirely — Most conservative, most evidence-supported option — omitting it signals poor clinical reasoning	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — would the following be appropriate, or a critical error?<br><br><i>“Jumping straight to "Treatment Option 1, 2, 3" without context — No clinical rationale; examiner cannot follow your thought process”</i>	<b>Critical error / Avoid this.</b><br><br>Jumping straight to "Treatment Option 1, 2, 3" without context — No clinical rationale; examiner cannot follow your thought process	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — list the key points for: <i>Arriving at the Diagnosis</i>	<ul><li><b>Responds to hot</b> → pulp is still vital → rules out pulp necrosis</li><li><b>Exaggerated/lingering response to heat</b> → inflammatory process, not reversible → <b>Irreversible Pulpitis</b></li><li><b>Pain on biting</b> → inflammation has spread to the apex → <b>Symptomatic Apical Periodontitis</b></li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — list the key points for: <i>Understanding the Core Tension</i>	<ul><li>A tooth (or teeth) has <b>irreversible pulpal disease</b> requiring definitive treatment</li><li>That tooth is <b>covered by a 2-year-old, sound and intact bridge</b> — it should be in its prime and is a significant prosthetic investment</li><li>Any treatment plan must balance <b>preserving the bridge</b> against <b>treating the disease</b></li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — list the key points for: <i>How to Open Your Written Answer</i>	<ul><li>Your diagnosis and clinical reasoning</li><li>That you will not assume without examination</li><li>Your patient-centered approach — all before listing any options</li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — list the key points for: <i>Step 1 — Comprehensive Examination First</i>	<ul><li>Detailed pain history — onset, duration, quality, triggers</li><li>Clinical examination — assess margins, check for caries, swelling, sinus tract</li><li>Periapical radiograph — assess periapical pathology, bone levels, root morphology, pre-existing pathology under the bridge</li><li>Vitality testing — note: can be challenging through a bridge (EPT may give false results; cold testing preferred but may be limited by bridge material)</li><li>Based on findings → confirm diagnosis → identify which specific tooth is the source</li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — list the key points for: <i>Option 1 ✅ — Endodontic Treatment Through the Bridge <i>(Most Recommended)</i></i>	<ul><li><b>Preserves the bridge</b> — 2-year-old, sound, intact prosthesis is saved completely</li><li>Avoids additional financial and procedural burden on the patient</li><li>Standard, evidence-based endodontic approach for vital abutment teeth with pulpal disease</li><li>High success rates for RCT through full-coverage restorations (FCRs) reported in literature</li><li><b>Technically challenging</b> — access through the bridge material may be difficult depending on the type</li><li>PFM: risk of fracturing the ceramic layer</li><li>Zirconia: extremely hard material, high drill wear, possible bridge fracture</li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — for each <i>Detail</i>, give the corresponding <i>Information</i>.	<ul><li><b><b>Chief Complaint</b></b> → Pain — upper right side, emergency presentation</li><li><b><b>Pain Quality</b></b> → Exaggerated by <b>hot fluids</b>, pain on <b>biting</b></li><li><b><b>Bridge</b></b> → Sound and intact, teeth #25–27, placed <b>2 years ago</b></li><li><b><b>Bridge Status</b></b> → No open margins, no breakdown, intact</li><li><b><b>Station Type</b></b> → Written — no further information can be obtained</li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
<b>Mmm10 painful bridge</b> — for each <i>Section</i>, give the corresponding <i>Content</i>.	<ul><li><b><b>Opening paragraph</b></b> → Summarize diagnosis, clinical situation, and approach</li><li><b><b>Examination</b></b> → History + clinical + radiographic assessment first</li><li><b><b>Option 1</b></b> → RCT through bridge (most recommended) + advantages/disadvantages + specialist referral</li><li><b><b>Option 2</b></b> → Bridge removal + definitive care + advantages/disadvantages</li><li><b><b>Option 3</b></b> → Extraction + consequences + replacement options briefly noted</li><li><b><b>Closing</b></b> → Shared decision making + consent + pain management + documentation</li></ul>	NDECC_SJ::Mmm10_painful_bridge NDECC_SJ
NDECC SJ — describe the clinical scenario / patient profile for: <b>Mmm10 total hip replacement + antibiotics</b>	| Detail | Information | |---|---| | <b>Age</b> | 68 years old | | <b>Procedure</b> | Simple extraction (invasive, bleeding-involved) | | <b>Medical History</b> | Rheumatoid arthritis (autoimmune, joint-involved) | | <b>Surgical History</b> | Total right hip replacement — <b>4 years ago</b> | | <b>Drug Allergy</b> | Penicillin → rash | | <b>Patient's Request</b> | "My orthopedic surgeon told me to always take antibiotics before any dental procedure where there might be bleeding" |	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — would the following be appropriate, or a critical error?<br><br><i>“Blindly prescribing because the surgeon said to — No clinical reasoning; ignores evidence; ABP not indicated by consensus”</i>	<b>Critical error / Avoid this.</b><br><br>Blindly prescribing because the surgeon said to — No clinical reasoning; ignores evidence; ABP not indicated by consensus	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — would the following be appropriate, or a critical error?<br><br><i>“Blatantly refusing ABP without consulting surgeon — Ignores possible patient-specific justification; disrespects interprofessional care”</i>	<b>Critical error / Avoid this.</b><br><br>Blatantly refusing ABP without consulting surgeon — Ignores possible patient-specific justification; disrespects interprofessional care	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — would the following be appropriate, or a critical error?<br><br><i>“Implying the surgeon is wrong or outdated — Damages patient trust; unprofessional; not what the station tests”</i>	<b>Critical error / Avoid this.</b><br><br>Implying the surgeon is wrong or outdated — Damages patient trust; unprofessional; not what the station tests	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — list the key points for: <i>Decoding the Exam Hints</i>	<ul><li><b>Hint 1 — Penicillin allergy listed:</b> Why give you an allergy if antibiotics were never a consideration? This signals the conversation <i>will</i> head toward antibiotics — stay alert</li><li><b>Hint 2 — Invasive procedure (bleeding):</b> Extractions involve bleeding, which is precisely what the surgeon's recommendation targeted — not blind, but procedure-specific</li><li><b>Hint 3 — "Always... before bleeding procedures":</b> This is a <i>targeted, specific</i> recommendation from a surgeon — not a blanket, uninformed request. It demands deeper engagement, not refusal</li></ul>	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — list the key points for: <i>Step 3 — Explain the Evidence-Based Position (Educate, Don't Lecture)</i>	<ul><li>As per the <b>COA/CDA/AMMI Canada Consensus Statement</b>, supported by RCDSO, routine antibiotic prophylaxis is <b>not recommended</b> for patients with total joint replacements</li><li>This applies equally to <b>pins, plates, screws</b>, and total joint replacements</li><li>The evidence shows dental procedures do <b>not reliably cause</b> prosthetic joint infections, and antibiotics carry their own risks (allergy, GI side effects, antimicrobial resistance)</li><li>Had the patient not shared this information, you would <b>not have placed them on ABP</b> based on the presenting history alone</li></ul>	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — list the key points for: <i>Step 5 — Propose Surgeon Consultation <i>(The Correct Action)</i></i>	<ul><li>This is <b>not confrontation</b> — it is interprofessional collaboration</li><li>You are not calling the surgeon wrong; you are seeking context</li><li><b>Get patient consent</b> before contacting the surgeon — you cannot reach out without it</li></ul>	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
<b>Mmm10 total hip replacement + antibiotics</b> — list the key points for: <i>Step 6 — Defer the Prescription <i>(Safest Standard Answer)</i></i>	<ul><li>The surgeon initiated the recommendation → they retain the most comprehensive knowledge of the patient's joint health</li><li>Any post-procedure complications with the joint will be managed by the surgeon — aligning the prescription with their care is safest</li><li>You are performing a focused dental procedure; the surgeon owns the broader medical picture</li></ul>	NDECC_SJ::Mmm10_total_hip_replacement_antibiotics NDECC_SJ
